2025-11-05 04:23:54 - INFO - Client connecting to 10.0.0.1:6555
2025-11-05 04:23:54 - INFO - Starting file reception to received_data.txt
2025-11-05 04:23:54 - DEBUG - SEND: Request (attempt 1/5)
2025-11-05 04:23:54 - DEBUG - RECV: First packet size=1200 bytes
2025-11-05 04:23:54 - INFO - Connection established!
2025-11-05 04:23:54 - DEBUG - RECV: Data seq=0 size=1180 bytes
2025-11-05 04:23:54 - DEBUG - SEND: ACK seq=1180 (next expected)
2025-11-05 04:23:54 - DEBUG - RECV: Data seq=1180 size=1180 bytes
2025-11-05 04:23:54 - DEBUG - SEND: ACK seq=2360 (next expected)
2025-11-05 04:23:54 - DEBUG - RECV: Data seq=2360 size=1180 bytes
2025-11-05 04:23:54 - DEBUG - SEND: ACK seq=3540 (next expected)
2025-11-05 04:23:54 - DEBUG - RECV: Data seq=3540 size=1180 bytes
2025-11-05 04:23:54 - DEBUG - SEND: ACK seq=4720 (next expected)
2025-11-05 04:23:54 - DEBUG - RECV: Data seq=4720 size=1180 bytes
2025-11-05 04:23:54 - DEBUG - SEND: ACK seq=5900 (next expected)
2025-11-05 04:23:54 - DEBUG - RECV: Data seq=5900 size=1180 bytes
2025-11-05 04:23:54 - DEBUG - SEND: ACK seq=7080 (next expected)
2025-11-05 04:23:54 - DEBUG - RECV: Data seq=7080 size=1180 bytes
2025-11-05 04:23:54 - DEBUG - SEND: ACK seq=8260 (next expected)
2025-11-05 04:23:54 - DEBUG - RECV: Data seq=8260 size=1180 bytes
2025-11-05 04:23:54 - DEBUG - SEND: ACK seq=9440 (next expected)
2025-11-05 04:23:54 - DEBUG - RECV: Data seq=9440 size=1180 bytes
2025-11-05 04:23:54 - DEBUG - SEND: ACK seq=10620 (next expected)
2025-11-05 04:23:54 - DEBUG - RECV: Data seq=10620 size=1180 bytes
2025-11-05 04:23:54 - DEBUG - SEND: ACK seq=11800 (next expected)
2025-11-05 04:23:54 - DEBUG - RECV: Data seq=11800 size=1180 bytes
2025-11-05 04:23:54 - DEBUG - SEND: ACK seq=12980 (next expected)
2025-11-05 04:23:54 - DEBUG - RECV: Data seq=12980 size=1180 bytes
2025-11-05 04:23:54 - DEBUG - SEND: ACK seq=14160 (next expected)
2025-11-05 04:23:54 - DEBUG - RECV: Data seq=14160 size=1180 bytes
2025-11-05 04:23:54 - DEBUG - SEND: ACK seq=15340 (next expected)
2025-11-05 04:23:54 - DEBUG - RECV: Data seq=15340 size=1180 bytes
2025-11-05 04:23:54 - DEBUG - SEND: ACK seq=16520 (next expected)
2025-11-05 04:23:54 - DEBUG - RECV: Data seq=16520 size=1180 bytes
2025-11-05 04:23:54 - DEBUG - SEND: ACK seq=17700 (next expected)
2025-11-05 04:23:54 - DEBUG - RECV: Data seq=17700 size=1180 bytes
2025-11-05 04:23:54 - DEBUG - SEND: ACK seq=18880 (next expected)
2025-11-05 04:23:54 - DEBUG - RECV: Data seq=18880 size=1180 bytes
2025-11-05 04:23:54 - DEBUG - SEND: ACK seq=20060 (next expected)
2025-11-05 04:23:54 - DEBUG - RECV: Data seq=20060 size=1180 bytes
2025-11-05 04:23:54 - DEBUG - SEND: ACK seq=21240 (next expected)
2025-11-05 04:23:54 - DEBUG - RECV: Data seq=21240 size=1180 bytes
2025-11-05 04:23:54 - DEBUG - SEND: ACK seq=22420 (next expected)
2025-11-05 04:23:54 - DEBUG - RECV: Data seq=22420 size=1180 bytes
2025-11-05 04:23:54 - DEBUG - SEND: ACK seq=23600 (next expected)
2025-11-05 04:23:54 - DEBUG - RECV: Data seq=23600 size=1180 bytes
2025-11-05 04:23:54 - DEBUG - SEND: ACK seq=24780 (next expected)
2025-11-05 04:23:54 - DEBUG - RECV: Data seq=24780 size=1180 bytes
2025-11-05 04:23:54 - DEBUG - SEND: ACK seq=25960 (next expected)
2025-11-05 04:23:54 - DEBUG - RECV: Data seq=25960 size=1180 bytes
2025-11-05 04:23:54 - DEBUG - SEND: ACK seq=27140 (next expected)
2025-11-05 04:23:54 - DEBUG - RECV: Data seq=27140 size=1180 bytes
2025-11-05 04:23:54 - DEBUG - SEND: ACK seq=28320 (next expected)
2025-11-05 04:23:54 - DEBUG - RECV: Data seq=28320 size=1180 bytes
2025-11-05 04:23:54 - DEBUG - SEND: ACK seq=29500 (next expected)
2025-11-05 04:23:54 - DEBUG - RECV: Data seq=29500 size=1180 bytes
2025-11-05 04:23:54 - DEBUG - SEND: ACK seq=30680 (next expected)
2025-11-05 04:23:54 - DEBUG - RECV: Data seq=30680 size=1180 bytes
