iteration,loss,delay,jitter,md5_hash,ttc
0,1,20,20,cc83be85db391e9396e1427b3e124968,34.94961190223694
1,1,20,20,cc83be85db391e9396e1427b3e124968,36.976669788360596
2,1,20,20,cc83be85db391e9396e1427b3e124968,35.66012763977051
3,1,20,20,cc83be85db391e9396e1427b3e124968,35.550177335739136
4,1,20,20,cc83be85db391e9396e1427b3e124968,35.888938903808594
0,1,20,40,cc83be85db391e9396e1427b3e124968,36.8389949798584
1,1,20,40,cc83be85db391e9396e1427b3e124968,34.26689267158508
2,1,20,40,cc83be85db391e9396e1427b3e124968,34.70319938659668
3,1,20,40,cc83be85db391e9396e1427b3e124968,34.53204703330994
4,1,20,40,cc83be85db391e9396e1427b3e124968,35.64672589302063
0,1,20,60,cc83be85db391e9396e1427b3e124968,31.02025270462036
1,1,20,60,cc83be85db391e9396e1427b3e124968,32.36263394355774
2,1,20,60,cc83be85db391e9396e1427b3e124968,33.699079751968384
3,1,20,60,cc83be85db391e9396e1427b3e124968,33.08423447608948
4,1,20,60,cc83be85db391e9396e1427b3e124968,33.54600667953491
0,1,20,80,cc83be85db391e9396e1427b3e124968,31.240185022354126
1,1,20,80,cc83be85db391e9396e1427b3e124968,30.840182304382324
2,1,20,80,cc83be85db391e9396e1427b3e124968,33.08066940307617
3,1,20,80,cc83be85db391e9396e1427b3e124968,30.7117600440979
4,1,20,80,cc83be85db391e9396e1427b3e124968,31.635233402252197
0,1,20,100,cc83be85db391e9396e1427b3e124968,26.843717098236084
1,1,20,100,cc83be85db391e9396e1427b3e124968,26.460455656051636
2,1,20,100,cc83be85db391e9396e1427b3e124968,27.60828971862793
3,1,20,100,cc83be85db391e9396e1427b3e124968,26.82764458656311
4,1,20,100,cc83be85db391e9396e1427b3e124968,28.138165712356567
