iteration,loss,delay,jitter,md5_hash,ttc
0,1,20,0,cc83be85db391e9396e1427b3e124968,48.23888111114502
1,1,20,0,cc83be85db391e9396e1427b3e124968,47.51431083679199
0,2,20,0,cc83be85db391e9396e1427b3e124968,49.32249093055725
1,2,20,0,cc83be85db391e9396e1427b3e124968,49.34537053108215
0,3,20,0,cc83be85db391e9396e1427b3e124968,52.08699131011963
1,3,20,0,cc83be85db391e9396e1427b3e124968,51.17461585998535
0,4,20,0,cc83be85db391e9396e1427b3e124968,53.3009467124939
1,4,20,0,cc83be85db391e9396e1427b3e124968,53.6762330532074
0,5,20,0,cc83be85db391e9396e1427b3e124968,64.80721879005432
1,5,20,0,cc83be85db391e9396e1427b3e124968,56.59776449203491
