time,cwnd_mss
0.070,2.00
0.111,3.00
0.111,4.00
0.152,5.00
0.152,6.00
0.152,7.00
0.152,8.00
0.193,9.00
0.193,10.00
0.193,11.00
0.193,12.00
0.193,13.00
0.193,14.00
0.193,15.00
0.193,16.00
0.234,17.00
0.234,18.00
0.234,19.00
0.234,20.00
0.234,21.00
0.234,22.00
0.234,23.00
0.234,24.00
0.235,25.00
0.235,26.00
0.235,27.00
0.235,28.00
0.235,29.00
0.235,30.00
0.235,31.00
0.235,32.00
0.274,33.00
0.275,34.00
0.275,35.00
0.275,36.00
0.275,37.00
0.275,38.00
0.275,39.00
0.275,40.00
0.275,41.00
0.275,42.00
0.275,43.00
0.275,44.00
0.276,45.00
0.276,46.00
0.276,47.00
0.276,48.00
0.276,49.00
0.276,50.00
0.276,51.00
0.276,52.00
0.276,53.00
0.276,54.00
0.276,55.00
0.276,56.00
0.277,57.00
0.277,58.00
0.277,59.00
0.277,60.00
0.277,61.00
0.277,62.00
0.277,63.00
0.315,64.00
0.315,65.00
0.315,66.00
0.315,67.00
0.315,68.00
0.315,69.00
0.315,70.00
0.315,71.00
0.316,72.00
0.316,73.00
0.316,74.00
0.316,75.00
0.316,76.00
0.316,77.00
0.316,78.00
0.316,79.00
0.316,80.00
0.316,81.00
0.317,82.00
0.317,83.00
0.317,84.00
0.317,85.00
0.317,86.00
0.317,87.00
0.317,88.00
0.317,89.00
0.317,90.00
0.318,91.00
0.318,92.00
0.318,93.00
0.318,94.00
0.318,95.00
0.318,96.00
0.318,97.00
0.318,98.00
0.319,99.00
0.319,100.00
0.319,101.00
0.319,102.00
0.319,103.00
0.320,104.00
0.320,105.00
0.320,106.00
0.321,107.00
0.322,108.00
0.322,109.00
0.323,110.00
0.323,111.00
0.323,112.00
0.365,186.40
0.438,258.48
0.486,269.94
0.562,210.95
0.701,2.00
0.733,2.00
0.764,2.00
0.776,2.00
0.817,2.00
0.822,2.00
0.863,64.00
0.863,3.00
0.865,4.00
0.865,5.00
0.865,6.00
0.866,7.00
0.868,8.00
0.868,9.00
0.868,10.00
0.869,11.00
0.869,12.00
0.869,13.00
0.871,14.00
0.871,15.00
0.871,16.00
0.872,17.00
0.872,18.00
0.874,19.00
0.875,20.00
0.875,21.00
0.875,22.00
0.876,23.00
0.876,24.00
0.877,25.00
0.877,26.00
0.879,27.00
0.879,28.00
0.879,29.00
0.880,30.00
0.881,31.00
0.881,32.00
0.881,33.00
0.883,34.00
0.884,35.00
0.884,36.00
0.885,37.00
0.886,38.00
0.887,39.00
0.888,40.00
0.889,41.00
0.890,42.00
0.890,43.00
0.891,44.00
0.892,45.00
0.892,46.00
0.892,47.00
0.893,48.00
0.895,49.00
0.895,50.00
0.895,51.00
0.896,52.00
0.897,53.00
0.898,54.00
0.898,55.00
0.898,56.00
0.898,57.00
0.899,58.00
0.899,59.00
0.899,60.00
0.900,61.00
0.900,62.00
0.901,63.00
0.902,64.00
0.902,65.00
0.903,65.00
0.924,65.00
0.924,66.00
0.924,66.00
0.924,66.00
0.924,66.00
0.924,66.00
0.925,66.00
0.925,66.00
0.926,66.00
0.926,66.00
0.928,66.00
0.928,66.00
0.928,66.00
0.928,66.00
0.930,66.00
0.930,66.00
0.930,66.00
0.930,66.00
0.930,66.00
0.930,66.00
0.931,66.00
0.931,66.00
0.932,66.00
0.932,66.00
0.932,66.00
0.932,66.00
0.932,66.00
0.933,66.00
0.934,66.00
0.934,66.00
0.935,66.00
0.935,66.00
0.935,66.00
0.935,66.00
0.936,66.00
0.936,66.00
0.937,66.00
0.937,66.00
0.937,66.00
0.937,66.00
0.938,66.00
0.938,66.00
0.938,66.00
0.939,66.00
0.939,66.00
0.939,66.00
0.939,66.00
0.939,66.00
0.939,66.00
0.940,66.00
0.940,66.00
0.940,66.00
0.940,66.00
0.940,66.00
0.940,66.00
0.940,66.00
0.941,66.00
0.942,66.00
0.942,66.00
0.942,66.00
0.942,66.00
0.942,66.00
0.942,66.00
0.944,66.00
0.964,66.00
0.964,66.00
0.964,66.00
0.965,67.00
0.965,67.00
0.965,67.00
0.965,67.00
0.966,67.00
0.966,67.00
0.967,67.00
0.967,67.00
0.968,67.00
0.968,67.00
0.969,67.00
0.969,67.00
0.970,67.00
0.970,67.00
0.971,67.00
0.971,67.00
0.971,67.00
0.971,67.00
0.971,67.00
0.971,67.00
0.973,67.00
0.973,67.00
0.973,67.00
0.973,67.00
0.973,67.00
0.973,67.00
0.974,67.00
0.974,67.00
0.975,67.00
0.975,67.00
0.976,67.00
0.976,67.00
0.977,67.00
0.977,67.00
0.977,67.00
0.977,67.00
0.977,67.00
0.978,67.00
0.979,67.00
0.979,67.00
0.979,67.00
0.979,67.00
0.979,67.00
0.980,67.00
0.980,67.00
0.980,67.00
0.980,67.00
0.980,67.00
0.980,67.00
0.980,67.00
0.980,67.00
0.980,67.00
0.981,67.00
0.981,67.00
0.981,67.00
0.981,67.00
0.982,67.00
0.982,67.00
0.982,67.00
0.982,67.00
0.982,67.00
0.982,67.00
0.984,67.00
1.005,67.00
1.005,67.00
1.005,67.00
1.006,67.00
1.006,68.00
1.006,68.00
1.006,68.00
1.006,68.00
1.006,68.00
1.006,68.00
1.007,68.00
1.007,68.00
1.009,68.00
1.009,68.00
1.009,68.00
1.009,68.00
1.011,68.00
1.011,68.00
1.011,68.00
1.011,68.00
1.011,68.00
1.012,68.00
1.012,68.00
1.346,19.00
1.387,59.30
1.640,3.00
1.681,3.00
1.681,3.00
1.682,4.00
1.722,4.00
1.722,4.00
1.722,4.00
1.722,5.00
1.763,5.00
1.763,5.00
1.763,5.00
1.763,5.00
1.763,6.00
1.803,6.00
1.803,6.00
1.803,6.00
1.803,6.00
1.803,6.00
1.803,7.00
1.843,7.00
1.844,7.00
1.844,7.00
1.844,7.00
1.844,7.00
1.844,7.00
1.844,8.00
1.884,8.00
1.884,8.00
1.884,8.00
1.885,8.00
1.885,8.00
1.885,8.00
1.885,8.00
1.925,9.00
1.925,9.00
1.925,9.00
1.925,9.00
1.925,9.00
1.925,9.00
1.925,9.00
1.925,9.00
1.965,9.00
1.965,10.00
1.966,10.00
1.966,10.00
1.966,10.00
1.966,10.00
1.966,10.00
1.966,10.00
1.966,10.00
2.006,10.00
2.006,10.00
2.006,11.00
2.006,11.00
2.006,11.00
2.006,11.00
2.006,11.00
2.006,11.00
2.006,11.00
2.006,11.00
2.051,11.00
2.051,11.00
2.051,11.00
2.051,12.00
2.051,12.00
2.051,12.00
2.051,12.00
2.051,12.00
2.051,12.00
2.051,12.00
2.051,12.00
2.092,12.00
2.092,12.00
