bw,loss,delay_c2_ms,udp_off_mean,iter,md5_hash_1,md5_hash_2,ttc1,ttc2,size1_bytes,size2_bytes,thr1_mbps,thr2_mbps,link_util,jfi 
100,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,8.448411,8.766296,32317690,32317690,30.602385,29.492675,0.600951,0.999659
200,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,10.199152,9.462661,32317690,32317690,25.349314,27.322286,0.263358,0.998599
300,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,8.943006,9.490971,32317690,32317690,28.909913,27.240787,0.187169,0.999117
400,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,11.995125,9.819857,32317690,32317690,21.553882,26.328441,0.119706,0.990155
500,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,11.712971,9.962989,32317690,32317690,22.073094,25.950196,0.096047,0.993524
600,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,9.664417,8.067655,32317690,32317690,26.751902,32.046677,0.097998,0.991956
700,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,11.793319,9.250516,32317690,32317690,21.922711,27.948874,0.071245,0.985609
800,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,9.818521,10.236073,32317690,32317690,26.332022,25.257881,0.064487,0.999567
900,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,7.865139,10.036910,32317690,32317690,32.871830,25.759076,0.065145,0.985496
1000,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,9.157655,10.735872,32317690,32317690,28.232284,24.082023,0.052314,0.993746
