Server listening on 10.0.0.3:6555
Initial congestion window: 1180 bytes
Waiting for client request...
Received request from ('10.0.0.1', 44419)
Starting file transfer: 32317690 bytes
Total packets to send: 27388
[ACK_SLOW_START] cwnd=2.000 ssthresh=inf last_max=1.000 ack=1180 acked=1180
[ACK_SLOW_START] cwnd=3.000 ssthresh=inf last_max=1.000 ack=2360 acked=1180
[ACK_SLOW_START] cwnd=4.000 ssthresh=inf last_max=1.000 ack=3540 acked=1180
[ACK_SLOW_START] cwnd=5.000 ssthresh=inf last_max=1.000 ack=4720 acked=1180
[ACK_SLOW_START] cwnd=6.000 ssthresh=inf last_max=1.000 ack=5900 acked=1180
[ACK_SLOW_START] cwnd=7.000 ssthresh=inf last_max=1.000 ack=7080 acked=1180
[ACK_SLOW_START] cwnd=8.000 ssthresh=inf last_max=1.000 ack=8260 acked=1180
[ACK_SLOW_START] cwnd=9.000 ssthresh=inf last_max=1.000 ack=9440 acked=1180
[ACK_SLOW_START] cwnd=10.000 ssthresh=inf last_max=1.000 ack=10620 acked=1180
[ACK_SLOW_START] cwnd=11.000 ssthresh=inf last_max=1.000 ack=11800 acked=1180
[ACK_SLOW_START] cwnd=12.000 ssthresh=inf last_max=1.000 ack=12980 acked=1180
[ACK_SLOW_START] cwnd=13.000 ssthresh=inf last_max=1.000 ack=14160 acked=1180
[ACK_SLOW_START] cwnd=14.000 ssthresh=inf last_max=1.000 ack=15340 acked=1180
[ACK_SLOW_START] cwnd=15.000 ssthresh=inf last_max=1.000 ack=16520 acked=1180
[ACK_SLOW_START] cwnd=16.000 ssthresh=inf last_max=1.000 ack=17700 acked=1180
[ACK_SLOW_START] cwnd=17.000 ssthresh=inf last_max=1.000 ack=18880 acked=1180
[ACK_SLOW_START] cwnd=18.000 ssthresh=inf last_max=1.000 ack=20060 acked=1180
[ACK_SLOW_START] cwnd=19.000 ssthresh=inf last_max=1.000 ack=21240 acked=1180
[ACK_SLOW_START] cwnd=20.000 ssthresh=inf last_max=1.000 ack=22420 acked=1180
[ACK_SLOW_START] cwnd=21.000 ssthresh=inf last_max=1.000 ack=23600 acked=1180
[ACK_SLOW_START] cwnd=22.000 ssthresh=inf last_max=1.000 ack=24780 acked=1180
[ACK_SLOW_START] cwnd=23.000 ssthresh=inf last_max=1.000 ack=25960 acked=1180
